Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Male,Fall,Right,Sophomore,College of Liberal Arts (CLA),International,No,No,Evening,0,35,5,Instagram,5,1,4,8,10,No,4,3.25,0,-1,No,30
Female,Spring,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,2,230,0,Instagram,2,1,6,8,8,Yes,3.77,3.72,0,0,Yes,30
Female,Spring,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,1,60,50,Instagram,1,3,3,7,9,Yes,4,3.8,4,-1,No,54
Male,Spring,Left,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,0,45,20,Instagram,3,3,4,8,10,Yes,3.8,3.7,0,0,Yes,52
Male,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,19,100,TikTok,2,3,2,6,10,Not sure,4,3.28,0,0,No,2
Female,Summer,Right,Others (PSEO or Post graduate),College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,40,25,Others,3,4,5,7,6,Not sure,4,0,0,0,No,24
Male,Summer,Left,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Morning,0,27,50,Instagram,2,0,6,6,7,Yes,4,3,0,1,No,36
Female,Spring,Right,Senior,College of Liberal Arts (CLA),U.S.,No,No,Morning,0,150,350,YouTube,2,2,4,5.5,6.5,Yes,3,3.5,0,0,No,55
Female,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,0,0,Instagram,6,0,6,5,10,Not sure,3.7,2.2,0,-1,No,85
Female,Fall,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Evening,0,35,10,TikTok,3,1,3,7,8,Not sure,3.2,3.4,0,0,No,39
Female,Spring,Right,Junior,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,0,50,0,Instagram,3,0,5,7,10,Yes,3.96,3.93,1,0,No,34
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Morning,0,20,5,TikTok,4,1,1,7,7,Yes,3.7,3.88,0,0,Yes,45
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,1,30,60,Instagram,4,0,4,8,10,Yes,3.95,3,0,0,No,42
Female,Summer,Right,Sophomore,Others,U.S.,Yes,Yes,Evening,1,200,0,TikTok,6,1,2,8,9,No,3.45,3.47,2,0,Yes,85
Male,Summer,Right,Junior,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,0,160,100,TikTok,2.5,2,6.5,8,10,Yes,4,3.78,0,0,No,37
Female,Fall,Right,Others (PSEO or Post graduate),Others,U.S.,Yes,No,Evening,0,180,0,TikTok,3,2,2,7,9,Yes,3.8,3.75,1,0,No,32
Female,Spring,Left,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Evening,0,35,1000,TikTok,2,1,5,7,9,Yes,3.95,3.92,2,0,No,53
Male,Fall,Right,Senior,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,2,20,0,YouTube,1,1.5,5,6,5,No,3.9,3.1,2,4,No,43
Female,Summer,Right,Sophomore,Others,U.S.,Yes,No,Evening,2,0,500,Twitter,3,0.5,2,8,8,Not sure,3.6,3.8,0,0,No,42
Male,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,0,24,50,YouTube,3,1.5,4,7,9,Not sure,3.3,3.8,0,0,No,54
Female,Spring,Right,Senior,Others,International,No,No,Morning,0,0,100,Instagram,0,1,8,6,6,No,0,3,0,0,No,28
Female,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,No,Depends,0,110,20,Others,4,2,6,7,8,Yes,4,3.8,0,0,Yes,39
Female,Summer,Right,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Morning,0,130,5,Twitter,9,0,4,6,9,Yes,3.77,3.2,0,0,No,33
Male,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Depends,0,34,0,YouTube,2,1,6,8,10,Not sure,3.8,4,0,0,No,60
Female,Summer,Right,Sophomore,Others,U.S.,Yes,Yes,Depends,0,160,50,TikTok,3,2,4,7,6,Yes,3.8,3.5,1,0,Yes,51
Female,Spring,Right,Freshman,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Depends,0,70,250,YouTube,3,1.5,6,7,9,Not sure,4,4,1,1,No,63
Male,Fall,Right,Sophomore,College of Science of Engineering (CSE),International,No,No,Evening,0,40,0,Others,2.5,1,3,8,8,No,0,3,0,-1,No,60
Female,Summer,Left,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,0,120,0,TikTok,4,1,8,8,9,Not sure,4,3.78,0,0,No,24
Female,Spring,Right,Freshman,Others,U.S.,Yes,Yes,Depends,0,25,20,Instagram,2,2,10,6,8,Not sure,4,4,0,0,Yes,37
Female,Fall,Right,Sophomore,Others,U.S.,No,Yes,Evening,2,0,10,TikTok,3,0,3,6,10,Yes,4,2.7,6,1,No,30
Female,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,0,180,0,TikTok,3,2,10,7,10,Yes,3.8,3,3,0,Yes,56
Male,Summer,Right,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Morning,2,50,100,TikTok,3,4,15,6,6,Yes,3.96,3.662,0,3,No,53
Female,Fall,Right,Others (PSEO or Post graduate),Others,U.S.,Yes,No,Evening,1,0,0,Instagram,3,0,5,6,7,Not sure,3.7,0,0,0,No,42
Female,Fall,Both,Others (PSEO or Post graduate),College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,5,0,Others,2,1,4,7,10,Yes,3.7,0,0,0,No,45
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,1,30,5,TikTok,2,1,2,6,7,Yes,3.4,3,0,0,Yes,34
Male,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,1,40,0,YouTube,1,3,3,6,8,No,3.77,3.68,0,0,No,45
Female,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Evening,1,0,20,TikTok,5,2,7,7,10,Yes,3.6,0,12,0,No,50
Male,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Depends,0,40,70,Instagram,2,1,3,8,10,Not sure,3.6,3.4,0,1,No,36
Female,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,0,180,10,Instagram,2,1,6,7,9,No,3.7,3.2,0,0,No,73
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,1,30,100,Others,6,1,3,8,9,Yes,3.39,3.5,0,1,Yes,43
Male,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,0,25,0,Instagram,1,2,3,7,7,Yes,4,3.691,0,0,No,31
Male,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,1,25,0,Instagram,1.5,4,3,8,9,Not sure,3.75,3.5,0,0,No,36
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,1,0,0,YouTube,2,1,4,7,8,Yes,3.5,3,0,0,Yes,29
